Gem Type,Variety,Carat Weight (ct),Cut/Shape,Colour,Clarity,Treatments,Asking Price (LKR),Final Selling Price (if available),"Dimensions (LxWxH, mm)",Certification Status,Date
Spinel,Blue,5.01,Asscher Asscher - Octagon,Blue,Very Slightly Included,No Enhancement,488475.0,,10.1 x 10.06 x 6.17,Certified by Natural Sapphire Company,2025-09-08
Spinel,Blue,2.94,Asscher Asscher - Octagon,Blue,Very Slightly Included,No Enhancement,382200.0,,8.6 x 8.59 x 4.64,Certified by Natural Sapphire Company,2025-09-08
Spinel,Greyish Blue,2.82,Mixed Brilliant Cushion,Greyish Blue,Very Slightly Included,No Enhancement,366600.0,,9.96 x 7.12 x 4.97,Certified by Natural Sapphire Company,2025-09-08
Spinel,Blue,2.55,Mixed Brilliant Oval,Blue,Eye Clean,No Enhancement,745875.0,,10.27 x 7.45 x 4.16,Certified by Natural Sapphire Company,2025-09-08
Spinel,Red,2.99,Mixed Brilliant Oval,Red,Very Slightly Included,Heat Treated,2516800.0,,9.66 x 8.22 x 5.15,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.01,Mixed Brilliant Round,Greenish Yellow,Very Slightly Included,No Enhancement,16575.0,,5.85 x 5.86 x 3.83,Certified by Natural Sapphire Company,2025-09-08
Spinel,Pink,2.59,Mixed Brilliant Oval,Pink,Eye Clean,Heat Treated,1094275.0,,9.16 x 7.11 x 5.18,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,3.79,Mixed Brilliant Oval,Purple,Very Slightly Included,No Enhancement,739050.0,,11.21 x 8.44 x 5.66,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellow,1.99,Mixed Brilliant Pear,Yellow,Eye Clean,Heat Treated,26000.0,,8.47 x 7.16 x 3.63,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,25.98,Mixed Brilliant Cushion,Brown,Eye Clean,Heat Treated,3445000.0,,17.16 x 14.82 x 10.01,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.54,Radiant Cut Radiant,Greenish Yellow,Eye Clean,No Enhancement,35100.0,,6.83 x 5.74 x 4.57,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,3.34,Mixed Brilliant Round,Brown,Very Slightly Included,Heat Treated,119275.0,,9.02 x 8.96 x 4.83,Certified by Natural Sapphire Company,2025-09-08
Zircon,Purplish Red,2.47,Mixed Brilliant Oval,Purplish Red,Very Slightly Included,No Enhancement,32175.0,,8.37 x 6.21 x 5.17,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,2.57,Mixed Brilliant Pear,Greenish Yellow,Very Slightly Included,No Enhancement,100100.0,,11.16 x 7.17 x 4.5,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,3.3,Mixed Brilliant Heart,Greenish Yellow,Eye Clean,No Enhancement,214500.0,,9.19 x 9.71 x 5.08,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.05,Mixed Brilliant Oval,Greenish Yellow,Very Slightly Included,No Enhancement,17225.0,,7.7 x 5.55 x 3.35,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.28,Radiant Cut Radiant,Greenish Yellow,Very Slightly Included,No Enhancement,20800.0,,7.35 x 6.15 x 3.28,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,2.8,Mixed Brilliant Pear,Greenish Yellow,Eye Clean,No Enhancement,109200.0,,10.87 x 8.18 x 4.59,Certified by Natural Sapphire Company,2025-09-08
Cobalt Spinel,Purplish Blue,1.82,Mixed Brilliant Oval,Purplish Blue,Very Slightly Included,No Enhancement,649350.0,,8.12 x 6.85 x 4.2,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellowish Brown,7.4,Mixed Brilliant Oval,Yellowish Brown,Very Slightly Included,Heat Treated,240500.0,,12.5 x 9.56 x 6.29,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellow,1.51,Mixed Brilliant Cushion,Yellow,Very Slightly Included,Heat Treated,12675.0,,8.01 x 6.11 x 3.06,Certified by Natural Sapphire Company,2025-09-08
Cobalt Spinel,Purplish Blue,2.06,Mixed Brilliant Oval,Purplish Blue,Very Slightly Included,No Enhancement,519675.0,,8.91 x 6.86 x 4.18,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Brown,4.85,Cabochon Oval,Brown,Very Slightly Included,No Enhancement,1040325.0,,9.45 x 7.87 x 6.27,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,1.01,Radiant Cut Radiant,Purple,Very Slightly Included,No Enhancement,16575.0,,6.87 x 4.78 x 3.44,Certified by Natural Sapphire Company,2025-09-08
Zircon,Red,1.76,Mixed Brilliant Oval,Red,Eye Clean,No Enhancement,14950.0,,7.54 x 6.22 x 3.9,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,1.01,Radiant Cut Radiant,Purple,Very Slightly Included,No Enhancement,16575.0,,6.9 x 5.09 x 3.64,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.32,Emerald Cut Emerald Cut,Rainbow,Very Slightly Included,No Enhancement,48750.0,,5.19 x 3.47 x 2.64,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purplish Blue,1.2,Radiant Cut Radiant,Purplish Blue,Very Slightly Included,No Enhancement,23400.0,,7.07 x 5.02 x 4.13,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.66,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,10725.0,,5.1 x 5.09 x 3.49,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.73,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,12025.0,,5.06 x 5.03 x 3.77,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.76,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,12350.0,,5.21 x 5.19 x 3.6,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.85,Mixed Brilliant Cushion,Purple,Slightly Included,No Enhancement,13975.0,,5.5 x 5.43 x 3.91,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.91,Mixed Brilliant Cushion,Purple,Slightly Included,No Enhancement,14950.0,,5.5 x 5.47 x 4.31,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.63,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,10400.0,,4.97 x 4.97 x 3.57,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.7,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,11375.0,,5.15 x 5.15 x 3.54,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.62,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,10075.0,,5.02 x 5.01 x 3.41,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.73,Mixed Brilliant Cushion,Purple,Slightly Included,No Enhancement,12025.0,,5.41 x 5.34 x 3.5,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.78,Mixed Brilliant Cushion,Purple,Slightly Included,No Enhancement,12675.0,,5.38 x 5.36 x 3.73,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.83,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,13650.0,,5.5 x 5.5 x 3.8,Certified by Natural Sapphire Company,2025-09-08
Spinel,Bluish Green,1.13,Radiant Cut Radiant,Bluish Green,Eye Clean,No Enhancement,25675.0,,6.97 x 5.03 x 3.84,Certified by Natural Sapphire Company,2025-09-08
Spinel,Blue,3.44,Mixed Brilliant Cushion,Blue,Very Slightly Included,No Enhancement,246025.0,,9.1 x 8.48 x 5.74,Certified by Natural Sapphire Company,2025-09-08
Aquamarine,Bluish Green,15.27,Radiant Cut Radiant,Bluish Green,Very Slightly Included,No Enhancement,297700.0,,24.23 x 11.21 x 8.22,Certified by Natural Sapphire Company,2025-09-08
Spinel,Blue,0.98,Mixed Brilliant Radiant,Blue,Very Slightly Included,No Enhancement,22425.0,,7.04 x 5.06 x 3.35,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.51,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,8450.0,,4.64 x 4.55 x 3.25,Certified by Natural Sapphire Company,2025-09-08
Aquamarine,Bluish Green,13.29,Mixed Brilliant Oval,Bluish Green,Eye Clean,No Enhancement,259025.0,,16.98 x 14.23 x 9.83,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.61,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,10075.0,,4.99 x 4.93 x 3.41,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.51,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,8450.0,,4.53 x 4.53 x 3.31,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.48,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,7800.0,,4.59 x 4.56 x 3.09,Certified by Natural Sapphire Company,2025-09-08
Spinel,Bluish Purple,0.49,Mixed Brilliant Cushion,Bluish Purple,Very Slightly Included,No Enhancement,8125.0,,4.59 x 4.55 x 3.21,Certified by Natural Sapphire Company,2025-09-08
Spinel,Pink,0.44,Mixed Brilliant Cushion,Pink,Very Slightly Included,No Enhancement,7150.0,,4.5 x 4.49 x 2.95,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.52,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,8450.0,,4.62 x 4.61 x 3.29,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.49,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,8125.0,,4.47 x 4.45 x 3.28,Certified by Natural Sapphire Company,2025-09-08
Aquamarine,Blue,11.44,Mixed Brilliant Oval,Blue,Very Slightly Included,No Enhancement,222950.0,,17.47 x 15.25 x 8.62,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.48,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,7800.0,,4.47 x 4.47 x 3.23,Certified by Natural Sapphire Company,2025-09-08
Spinel,Greyish Blue,0.46,Mixed Brilliant Cushion,Greyish Blue,Very Slightly Included,No Enhancement,7475.0,,4.58 x 4.57 x 3.07,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.57,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,9425.0,,5.01 x 4.96 x 3.0,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.48,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,7800.0,,4.54 x 4.52 x 3.18,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.45,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,7475.0,,4.53 x 4.49 x 3.04,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.48,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,7800.0,,4.52 x 4.48 x 3.23,Certified by Natural Sapphire Company,2025-09-08
Spinel,Pinkish Purple,0.47,Mixed Brilliant Cushion,Pinkish Purple,Very Slightly Included,No Enhancement,7800.0,,4.59 x 4.59 x 3.1,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.49,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,8125.0,,4.62 x 4.49 x 3.24,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.5,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,8125.0,,4.59 x 4.56 x 3.26,Certified by Natural Sapphire Company,2025-09-08
Spinel,Blue,0.52,Mixed Brilliant Cushion,Blue,Very Slightly Included,No Enhancement,10075.0,,4.62 x 4.56 x 3.32,Certified by Natural Sapphire Company,2025-09-08
Aquamarine,Blue,13.42,Mixed Brilliant Oval,Blue,Eye Clean,No Enhancement,261625.0,,17.49 x 14.5 x 10.19,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.65,Mixed Brilliant Cushion,Purple,Slightly Included,No Enhancement,10725.0,,5.1 x 5.09 x 3.46,Certified by Natural Sapphire Company,2025-09-08
Spinel,Blue,0.49,Mixed Brilliant Cushion,Blue,Very Slightly Included,No Enhancement,9425.0,,4.56 x 4.54 x 3.23,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.48,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,7800.0,,4.59 x 4.53 x 3.17,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.56,Mixed Brilliant Cushion,Purple,Very Slightly Included,No Enhancement,9100.0,,5.01 x 4.93 x 3.13,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,0.46,Princess Cut Cushion,Purple,Very Slightly Included,No Enhancement,7475.0,,4.47 x 4.47 x 3.16,Certified by Natural Sapphire Company,2025-09-08
Spinel,Bluish Purple,0.52,Mixed Brilliant Cushion,Bluish Purple,Very Slightly Included,No Enhancement,8450.0,,4.61 x 4.59 x 3.28,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Brown,29.91,Cabochon Oval,Brown,Very Slightly Included,No Enhancement,136175.0,,21.15 x 17.78 x 10.76,Certified by Natural Sapphire Company,2025-09-08
Tourmaline,Brownish Pink,19.77,Emerald Cut Emerald Cut,Brownish Pink,Very Very Slightly Included,Heat Treated,2377375.0,,14.62 x 12.7 x 11.31,Certified by Natural Sapphire Company,2025-09-08
Aquamarine,Bluish Green,10.5,Mixed Brilliant Cushion,Bluish Green,Very Slightly Included,No Enhancement,204750.0,,15.72 x 12.98 x 8.47,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.19,Cabochon Oval,Greenish Yellow,Eye Clean,No Enhancement,309400.0,,6.88 x 5.18 x 3.39,Certified by Natural Sapphire Company,2025-09-08
Spinel,Pink,4.71,Cabochon Oval,Pink,Very Slightly Included,No Enhancement,260000.0,,11.12 x 9.37 x 5.17,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.16,Mixed Brilliant Oval,Greenish Yellow,Very Slightly Included,No Enhancement,18850.0,,6.8 x 5.13 x 4.16,Certified by Natural Sapphire Company,2025-09-08
Aquamarine,Sky Blue,8.16,Mixed Brilliant Cushion,Sky Blue,Very Slightly Included,No Enhancement,159250.0,,15.93 x 10.51 x 8.03,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.45,Mixed Brilliant Cushion,Greenish Yellow,Very Slightly Included,No Enhancement,23725.0,,7.25 x 5.53 x 4.31,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.41,Emerald Cut Emerald Cut,Rainbow,Very Slightly Included,No Enhancement,48750.0,,4.91 x 4.11 x 3.31,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.31,Emerald Cut Emerald Cut,Rainbow,Very Slightly Included,No Enhancement,48750.0,,5.45 x 3.42 x 2.58,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.38,Emerald Cut Emerald Cut,Rainbow,Very Very Slightly Included,No Enhancement,48750.0,,5.8 x 3.33 x 2.97,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.85,Mixed Brilliant Cushion,Blue,Very Slightly Included,Heat Treated,120250.0,,6.17 x 5.61 x 5.05,Certified by Natural Sapphire Company,2025-09-08
Spinel,Blue,5.47,Mixed Brilliant Cushion,Blue,Eye Clean,No Enhancement,1973400.0,,11.09 x 9.42 x 5.91,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.28,Mixed Brilliant Oval,Greenish Yellow,Very Slightly Included,No Enhancement,29250.0,,6.7 x 5.53 x 4.43,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,0.22,Emerald Cut Emerald Cut,White,Very Slightly Included,No Enhancement,48750.0,,6.45 x 2.62 x 1.88,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.32,Emerald Cut Emerald Cut,Rainbow,Very Slightly Included,No Enhancement,48750.0,,6.56 x 3.39 x 2.09,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.35,Emerald Cut Emerald Cut,Rainbow,Very Very Slightly Included,No Enhancement,48750.0,,6.64 x 3.52 x 2.33,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.37,Emerald Cut Emerald Cut,Rainbow,Slightly Included,No Enhancement,48750.0,,5.11 x 3.42 x 3.23,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.57,Emerald Cut Emerald Cut,Rainbow,Very Very Slightly Included,No Enhancement,48750.0,,5.25 x 4.45 x 3.74,Certified by Natural Sapphire Company,2025-09-08
Spinel,Blue,3.82,Mixed Brilliant Cushion,Blue,Eye Clean,No Enhancement,1493050.0,,11.03 x 8.1 x 4.95,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.39,Emerald Cut Emerald Cut,Rainbow,Very Very Slightly Included,No Enhancement,48750.0,,5.32 x 4.1 x 2.73,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.25,Emerald Cut Emerald Cut,Rainbow,Very Slightly Included,No Enhancement,48750.0,,4.98 x 3.03 x 2.46,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.98,Mixed Brilliant Oval,Blue,Very Slightly Included,Heat Treated,128700.0,,7.2 x 6.39 x 4.14,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.4,Emerald Cut Emerald Cut,Rainbow,Very Slightly Included,No Enhancement,48750.0,,5.24 x 3.87 x 3.27,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.82,Mixed Brilliant Oval,Blue,Eye Clean,Heat Treated,118300.0,,6.69 x 5.34 x 4.91,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.98,Mixed Brilliant Oval,Blue,Very Slightly Included,Heat Treated,128700.0,,6.58 x 5.84 x 4.84,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.72,Mixed Brilliant Oval,Blue,Very Slightly Included,Heat Treated,111800.0,,5.95 x 5.59 x 5.03,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.07,Mixed Brilliant Oval,Greenish Yellow,Very Slightly Included,No Enhancement,24375.0,,6.37 x 5.31 x 4.0,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.74,Mixed Brilliant Oval,Blue,Eye Clean,Heat Treated,113100.0,,6.88 x 5.9 x 4.09,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.72,Mixed Brilliant Cushion,Blue,Very Slightly Included,Heat Treated,111800.0,,6.39 x 5.62 x 4.55,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.52,Radiant Cut Radiant,Greenish Yellow,Very Slightly Included,No Enhancement,34450.0,,7.99 x 5.18 x 4.08,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.58,Mixed Brilliant Cushion,Blue,Very Slightly Included,Heat Treated,102700.0,,6.15 x 5.98 x 3.87,Certified by Natural Sapphire Company,2025-09-08
Zircon,Greenish Blue,1.88,Mixed Brilliant Cushion,Greenish Blue,Eye Clean,Heat Treated,122200.0,,6.15 x 5.56 x 5.18,Certified by Natural Sapphire Company,2025-09-08
Zircon,Greenish Blue,1.97,Mixed Brilliant Cushion,Greenish Blue,Very Slightly Included,Heat Treated,128050.0,,6.71 x 6.42 x 4.28,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.67,Mixed Brilliant Pear,Blue,Very Slightly Included,Heat Treated,108550.0,,7.99 x 4.96 x 4.41,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.61,Asscher Asscher - Octagon,Blue,Very Slightly Included,Heat Treated,104650.0,,5.25 x 5.15 x 4.87,Certified by Natural Sapphire Company,2025-09-08
Garnet,Red,2.33,Mixed Brilliant Oval,Red,Eye Clean,No Enhancement,60450.0,,8.05 x 7.14 x 5.05,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.03,Radiant Cut Radiant,Greenish Yellow,Very Slightly Included,No Enhancement,23400.0,,6.64 x 4.86 x 3.58,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.84,Mixed Brilliant Pear,Blue,Very Slightly Included,Heat Treated,119600.0,,7.24 x 5.84 x 4.72,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.82,Radiant Cut Radiant,Blue,Eye Clean,Heat Treated,118300.0,,7.04 x 4.31 x 4.72,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellow,19.97,Mixed Brilliant Cushion,Yellow,Eye Clean,Heat Treated,2923700.0,,15.29 x 12.3 x 9.51,Certified by Natural Sapphire Company,2025-09-08
Garnet,Red,2.28,Emerald Cut Emerald Cut,Red,Very Slightly Included,No Enhancement,59150.0,,8.59 x 6.31 x 4.28,Certified by Natural Sapphire Company,2025-09-08
Spinel,Blue,4.08,Mixed Brilliant Cushion,Blue,Eye Clean,Heat Treated,1594450.0,,9.42 x 8.86 x 5.94,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.51,Mixed Brilliant Cushion,Greenish Yellow,Very Slightly Included,No Enhancement,24700.0,,7.26 x 6.16 x 4.11,Certified by Natural Sapphire Company,2025-09-08
Aquamarine,Blue,12.4,Mixed Brilliant Cushion,Blue,Eye Clean,Heat Treated,2124850.0,,14.58 x 13.46 x 9.7,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,11.8,Mixed Brilliant Oval,Brown,Eye Clean,Heat Treated,1241500.0,,14.75 x 11.04 x 7.84,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.85,Radiant Cut Radiant,Greenish Yellow,Very Slightly Included,No Enhancement,42250.0,,7.17 x 6.23 x 4.78,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.88,Radiant Cut Radiant,Greenish Yellow,Eye Clean,No Enhancement,42900.0,,7.5 x 5.82 x 4.81,Certified by Natural Sapphire Company,2025-09-08
Garnet,Red,15.74,Mixed Brilliant Pear,Red,Eye Clean,No Enhancement,1419600.0,,20.55 x 14.24 x 7.52,Certified by Natural Sapphire Company,2025-09-08
Garnet,Purplish Red,7.8,Mixed Brilliant Oval,Purplish Red,Very Slightly Included,No Enhancement,380250.0,,13.6 x 11.43 x 7.25,Certified by Natural Sapphire Company,2025-09-08
Zircon,Green,4.4,Mixed Brilliant Cushion,Green,Very Slightly Included,Heat Treated,214500.0,,11.18 x 9.26 x 5.92,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.68,Mixed Brilliant Round,Greenish Yellow,Very Slightly Included,No Enhancement,38350.0,,6.78 x 6.81 x 5.15,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellowish Brown,15.72,Mixed Brilliant Oval,Yellowish Brown,Very Slightly Included,Heat Treated,1277250.0,,14.68 x 12.17 x 9.05,Certified by Natural Sapphire Company,2025-09-08
Zircon,Green,7.12,Radiant Cut Radiant,Green,Very Slightly Included,Heat Treated,1369875.0,,12.85 x 9.86 x 5.9,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,19.37,Mixed Brilliant Oval,Blue,Very Slightly Included,Heat Treated,3745625.0,,16.46 x 10.89 x 10.19,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.57,Mixed Brilliant Pear,Greenish Yellow,Very Slightly Included,No Enhancement,35750.0,,7.89 x 5.99 x 4.66,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,23.74,Mixed Brilliant Cushion,Blue,Very Slightly Included,Heat Treated,4590625.0,,14.08 x 12.37 x 11.44,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Green,2.31,Mixed Brilliant Cushion,Green,Very Slightly Included,Heat Treated,262925.0,,9.15 x 6.7 x 4.64,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.55,Radiant Cut Radiant,Greenish Yellow,Very Slightly Included,No Enhancement,35425.0,,6.46 x 6.02 x 4.4,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Yellow,2.34,Mixed Brilliant Cushion,Yellow,Very Slightly Included,No Enhancement,76050.0,,8.95 x 6.68 x 4.3,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.35,Emerald Cut Emerald Cut,Rainbow,Slightly Included,No Enhancement,48750.0,,5.24 x 3.43 x 2.89,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,9.01,Mixed Brilliant Oval,Brown,Very Slightly Included,Heat Treated,292825.0,,13.56 x 10.37 x 6.9,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.55,Emerald Cut Emerald Cut,Rainbow,Slightly Included,No Enhancement,48750.0,,5.37 x 4.14 x 4.06,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,3.0,Mixed Brilliant Oval,Purple,Very Slightly Included,No Enhancement,113100.0,,8.9 x 8.48 x 5.69,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,9.01,Mixed Brilliant Cushion,Brown,Slightly Included,Heat Treated,292825.0,,13.22 x 9.53 x 6.36,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,0.72,Emerald Cut Emerald Cut,Rainbow,Slightly Included,No Enhancement,48750.0,,6.36 x 4.16 x 3.94,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brownish Yellow,12.0,Mixed Brilliant Oval,Brownish Yellow,Eye Clean,Heat Treated,507000.0,,13.72 x 11.29 x 7.55,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,11.47,Cabochon Oval,White,Very Slightly Included,No Enhancement,37375.0,,17.27 x 12.03 x 7.49,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,10.86,Radiant Cut Radiant,Brown,Very Slightly Included,Heat Treated,352950.0,,15.63 x 9.51 x 5.91,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,11.98,Mixed Brilliant Oval,Brown,Very Slightly Included,Heat Treated,389350.0,,14.16 x 12.01 x 7.9,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,12.34,Mixed Brilliant Oval,Brown,Very Slightly Included,Heat Treated,401050.0,,14.61 x 11.53 x 7.88,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellowish Brown,14.14,Mixed Brilliant Cushion,Yellowish Brown,Very Slightly Included,Heat Treated,643500.0,,13.36 x 12.6 x 8.0,Certified by Natural Sapphire Company,2025-09-08
Garnet,Red,1.71,Asscher Asscher - Octagon,Red,Eye Clean,No Enhancement,44525.0,,6.62 x 6.21 x 4.28,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.65,Mixed Brilliant Heart,Greenish Yellow,Eye Clean,No Enhancement,37700.0,,6.46 x 6.55 x 5.24,Certified by Natural Sapphire Company,2025-09-08
Garnet,Red,2.17,Mixed Brilliant Oval,Red,Eye Clean,No Enhancement,56550.0,,7.78 x 7.28 x 4.52,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,1.2,Radiant Cut Radiant,White,Very Slightly Included,No Enhancement,42900.0,,7.19 x 6.41 x 4.43,Certified by Natural Sapphire Company,2025-09-08
Garnet,Red,1.52,Asscher Asscher - Octagon,Red,Very Slightly Included,No Enhancement,39650.0,,6.97 x 6.62 x 3.56,Certified by Natural Sapphire Company,2025-09-08
Garnet,Red,2.44,Mixed Brilliant Oval,Red,Eye Clean,No Enhancement,63375.0,,8.65 x 6.41 x 5.01,Certified by Natural Sapphire Company,2025-09-08
