Gem Type,Variety,Carat Weight (ct),Cut/Shape,Colour,Clarity,Treatments,Asking Price (LKR),Final Selling Price (if available),"Dimensions (LxWxH, mm)",Certification Status,Date
Chrysoberyl,Green,1.94,Cabochon Oval,Green,Very Very Slightly Included,No Enhancement,882700.0,,6.69 x 6.39 x 4.97,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Brown,32.69,Cabochon Oval,Brown,Eye Clean,No Enhancement,148850.0,,19.57 x 15.94 x 13.54,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Peach,25.62,Cabochon Oval,Peach,Eye Clean,No Enhancement,116675.0,,20.78 x 13.59 x 12.02,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,2.68,Mixed Brilliant Pear,Rainbow,Very Very Slightly Included,No Enhancement,130650.0,,10.5 x 7.78 x 6.16,Certified by Natural Sapphire Company,2025-09-08
Zircon,Green,2.57,Emerald Cut Emerald Cut,Green,Very Slightly Included,No Enhancement,66950.0,,7.61 x 6.64 x 4.98,Certified by Natural Sapphire Company,2025-09-08
Zircon,Pinkish Brown,1.06,Mixed Brilliant Round,Pinkish Brown,Very Slightly Included,No Enhancement,19175.0,,5.62 x 5.67 x 3.65,Certified by Natural Sapphire Company,2025-09-08
Zircon,Green,0.69,Mixed Brilliant Round,Green,Slightly Included,No Enhancement,6175.0,,5.42 x 5.42 x 3.17,Certified by Natural Sapphire Company,2025-09-08
Beryl,Green,8.62,Radiant Cut Radiant,Green,Very Slightly Included,No Enhancement,168025.0,,13.86 x 10.96 x 8.8,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,1.73,Mixed Brilliant Oval,Brown,Eye Clean,No Enhancement,14625.0,,7.64 x 5.96 x 3.96,Certified by Natural Sapphire Company,2025-09-08
Aquamarine,Blue,2.36,Emerald Cut Emerald Cut,Blue,Eye Clean,No Enhancement,199550.0,,8.74 x 7.27 x 5.66,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellowish Brown,2.09,Mixed Brilliant Pear,Yellowish Brown,Eye Clean,Heat Treated,27300.0,,8.73 x 7.05 x 4.01,Certified by Natural Sapphire Company,2025-09-08
Zircon,Green,3.87,Mixed Brilliant Round,Green,Very Slightly Included,No Enhancement,113100.0,,8.96 x 9.05 x 6.15,Certified by Natural Sapphire Company,2025-09-08
Zircon,Green,2.05,Mixed Brilliant Oval,Green,Very Slightly Included,No Enhancement,97500.0,,8.72 x 7.34 x 4.22,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Rainbow,2.0,Radiant Cut Radiant,Rainbow,Eye Clean,No Enhancement,97500.0,,8.66 x 6.54 x 4.73,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.66,Mixed Brilliant Heart,Greenish Yellow,Very Slightly Included,No Enhancement,37700.0,,6.75 x 7.09 x 4.91,Certified by Natural Sapphire Company,2025-09-08
Zircon,Blue,1.96,Emerald Cut Emerald Cut,Blue,Very Slightly Included,Heat Treated,127400.0,,8.04 x 4.78 x 3.85,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brownish Yellow,1.46,Mixed Brilliant Round,Brownish Yellow,Very Slightly Included,Heat Treated,38025.0,,6.51 x 6.56 x 4.16,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brownish Yellow,2.95,Mixed Brilliant Oval,Brownish Yellow,Very Slightly Included,Heat Treated,76700.0,,9.64 x 7.57 x 4.41,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brown,2.94,Mixed Brilliant Oval,Brown,Very Slightly Included,No Enhancement,38350.0,,9.21 x 6.77 x 5.09,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brownish Green,1.19,Mixed Brilliant Oval,Brownish Green,Very Slightly Included,Heat Treated,30875.0,,7.98 x 6.31 x 3.17,Certified by Natural Sapphire Company,2025-09-08
Amethyst,Purple,2.04,Emerald Cut Emerald Cut,Purple,Very Slightly Included,Heat Treated,6500.0,,9.27 x 7.11 x 4.35,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Peach,12.79,Cabochon Oval,Peach,Very Very Slightly Included,No Enhancement,58175.0,,14.56 x 13.29 x 9.99,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Green to Pink,0.49,Mixed Brilliant Cushion,Green to Pink,Eye Clean,No Enhancement,253500.0,,4.93 x 3.47 x 3.03,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Yellowish Green,1.31,Mixed Brilliant Oval,Yellowish Green,Eye Clean,No Enhancement,65000.0,,7.95 x 6.22 x 3.28,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Grey,3.72,Cabochon Oval,Grey,Very Slightly Included,No Enhancement,60450.0,,9.6 x 8.81 x 5.26,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Pinkish Purple,0.95,Mixed Brilliant Round,Pinkish Purple,Eye Clean,No Enhancement,37050.0,,6.05 x 6.01 x 3.53,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Purplish Pink,0.87,Mixed Brilliant Cushion,Purplish Pink,Eye Clean,No Enhancement,33800.0,,6.72 x 4.66 x 3.21,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Brown,3.62,Cabochon Oval,Brown,Eye Clean,No Enhancement,58825.0,,9.11 x 8.63 x 5.25,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Brownish Yellow,0.71,Cabochon Oval,Brownish Yellow,Eye Clean,No Enhancement,32500.0,,5.46 x 4.48 x 3.05,Certified by Natural Sapphire Company,2025-09-08
Zircon,Orange,2.88,Mixed Brilliant Round,Orange,Very Slightly Included,Heat Treated,74750.0,,8.05 x 8.04 x 5.23,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Peach,11.77,Cabochon Oval,Peach,Very Slightly Included,No Enhancement,38350.0,,14.16 x 12.86 x 9.14,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,2.09,Cabochon Round,Greenish Yellow,Eye Clean,No Enhancement,344500.0,,6.62 x 6.57 x 5.07,Certified by Natural Sapphire Company,2025-09-08
Amethyst,Purple,30.38,Mixed Brilliant Cushion,Purple,Eye Clean,No Enhancement,214500.0,,20.83 x 17.36 x 11.71,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Peach,14.18,Cabochon Oval,Peach,Very Very Slightly Included,No Enhancement,64675.0,,20.08 x 15.06 x 7.0,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Yellowish Green,2.93,Mixed Brilliant Heart,Yellowish Green,Eye Clean,No Enhancement,685750.0,,8.02 x 9.8 x 5.51,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellowish Brown,20.59,Radiant Cut Radiant,Yellowish Brown,Eye Clean,Heat Treated,1733225.0,,17.01 x 12.91 x 8.69,Certified by Natural Sapphire Company,2025-09-08
Almandine Garnet,Red,1.64,Mixed Brilliant Pear,Red,Eye Clean,No Enhancement,53300.0,,9.21 x 5.99 x 4.29,Certified by Natural Sapphire Company,2025-09-08
Aquamarine,Blue,16.87,Fancy Cut Fancy,Blue,Very Very Slightly Included,Heat Treated,1267825.0,,16.92 x 15.76 x 10.75,Certified by Natural Sapphire Company,2025-09-08
Spinel,Blue,1.67,Mixed Brilliant Round,Blue,Very Slightly Included,No Enhancement,108550.0,,7.01 x 7.02 x 4.65,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Peach,16.71,Cabochon Oval,Peach,Very Very Slightly Included,No Enhancement,54275.0,,19.83 x 14.77 x 7.37,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.23,Cabochon Oval,Greenish Yellow,Eye Clean,No Enhancement,65000.0,,7.0 x 4.72 x 3.64,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.27,Mixed Brilliant Pear,Greenish Yellow,Very Slightly Included,No Enhancement,28925.0,,8.3 x 5.77 x 3.71,Certified by Natural Sapphire Company,2025-09-08
Zircon,Orange,1.81,Mixed Brilliant Oval,Orange,Very Slightly Included,No Enhancement,15275.0,,8.5 x 6.26 x 3.59,Certified by Natural Sapphire Company,2025-09-08
Beryl,Green,6.97,Mixed Brilliant Oval,Green,Eye Clean,No Enhancement,136175.0,,14.06 x 10.79 x 7.9,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Green to Pink,0.34,Mixed Brilliant Marquise,Green to Pink,Very Slightly Included,No Enhancement,175500.0,,7.14 x 3.17 x 2.02,Certified by Natural Sapphire Company,2025-09-08
Cobalt Spinel,Purplish Blue,1.76,Mixed Brilliant Cushion,Purplish Blue,Very Slightly Included,No Enhancement,325000.0,,8.17 x 6.24 x 3.85,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.25,Mixed Brilliant Heart,Greenish Yellow,Very Slightly Included,No Enhancement,20475.0,,6.89 x 6.68 x 3.92,Certified by Natural Sapphire Company,2025-09-08
Zircon,Brownish Yellow,7.92,Mixed Brilliant Oval,Brownish Yellow,Very Slightly Included,Heat Treated,257400.0,,13.04 x 11.06 x 6.01,Certified by Natural Sapphire Company,2025-09-08
