name,price_text,price_value,currency,url,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,scraped_at,raw_description_text
2.13ct Natural Blue Sapphire,"Rs 713,000.00",713000.0,LKR,https://wijayagems.com/products/2-13ct-natural-blue-sapphire,Natural Blue Sapphire,2.13,,8.71x6.53x4.07mm,Cornflower Blue Shape,Oval,,2025-09-01T11:59:56.664133+00:00,". Gem type: Natural Blue Sapphire
Weight: 2.13 carat
Size: 8.71x6.53x4.07mm
Colour: Cornflower Blue
Shape & Cut: Oval / Step Cut
Certificate : FK9-063
SKU : CR/6967."
1.78ct Natural Blue Sapphire,"Rs 445,600.00",445600.0,LKR,https://wijayagems.com/products/1-78cts-natural-blue-sapphire,Natural Blue Sapphire,1.78,Eye Clean Colour,7.87x6.95x4.42 mm,Royal Blue Size,Trigonal Cartificate,,2025-09-01T12:00:04.993373+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.78 carat
Clarity: Eye Clean
Colour: Royal Blue
Size : 7.87x6.95x4.42 mm
Shape & Cut: Trigonal
Cartificate : FK5-327
SKU : CR-4731(3)"
2.79ct Natural Blue Sapphire,"Rs 330,200.00",330200.0,LKR,https://wijayagems.com/products/2-79cts-natural-blue-sapphire,Natural Blue Sapphire,2.79,Eye Clean Colour,10.5x7.1x4 mm,Corn Flower Size,Cabochon,,2025-09-01T12:00:11.893147+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.79 carat
Clarity: Eye Clean
Colour: Corn Flower
Size : 10.5x7.1x4 mm
Shape & Cut: Cabochon ."
1.29ct Natural Unheated Blue Sapphire,"Rs 178,300.00",178300.0,LKR,https://wijayagems.com/products/1-29cts-natural-blue-sapphire,Natural Blue Sapphire,1.29,Eye Clean Colour,,Royal Blue Shape,cushion Treatment,Unheated,2025-09-01T12:00:17.712468+00:00,"Gem type: Natural Blue Sapphire
Weight:1.29carat
Clarity: Eye Clean
Colour: Royal Blue
Shape & Cut: cushion
Treatment : Unheated"
22.89ct 3mm up  Princess Natural Blue Sapphire,"Rs 969,200.00",969200.0,LKR,https://wijayagems.com/products/3mmup-princess-natural-blue-sapphire-22-89ct,Natural Blue Sapphire,22.89,Eye Clean Colour,3mm,Corn Flower Size,Rectangle,,2025-09-01T12:00:24.718900+00:00,"Gem type: Natural Blue Sapphire
Weight: 22.89 carat
Clarity: Eye Clean
Colour: Corn Flower
Size : 3mmup
Shape & Cut: Rectangle,Princess"
2.02ct Natural Blue Sapphire,"Rs 877,900.00",877900.0,LKR,https://wijayagems.com/products/2-02-ct-natural-blue-sapphire,Natural Blue Sapphire,,Eye clean Colour,6.3× 6.3 × 5.3 mm,Blue Size,Cushion,,2025-09-01T12:00:40.369251+00:00,"Gem type: Natural Blue Sapphire
Weight : 2.02 Ct
Clarity: Eye clean
Colour: Blue
Size: 6.3× 6.3 × 5.3 mm
Shape & Cut: Cushion / Step Cut
Certificate : WG-831"
1.81ct Blue Sapphire - 2 Pcs,"Rs 453,400.00",453400.0,LKR,https://wijayagems.com/products/1-81-ct-blue-sapphire-2-pcs,Natural Blue Sapphire,1.81,,,Blue Shape,Pear,,2025-09-01T12:00:47.705287+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.81 carat
Colour: Blue
Shape & Cut: Pear & Step Cut ."
14.45ct Natural Blue Sapphire Lot,"Rs 207,200.00",207200.0,LKR,https://wijayagems.com/products/14-45-ct-natural-blue-sapphire-lot,Natural Blue Sapphire Lot,14.45,,2.1 mm,Medium Blue Shape,Round Flower Cut,,2025-09-01T12:00:55.876943+00:00,"Gem type: Natural Blue Sapphire Lot
Weight: 14.45 carat
Size: 2.1 mm
Colour: Medium Blue
Shape & Cut: Round Flower Cut"
1.28ct Natural Blue Sapphire,"Rs 222,800.00",222800.0,LKR,https://wijayagems.com/products/1-28-ct-natural-blue-sapphire,Natural Blue Sapphire,1.28,,6.4 × 5.8 × 3.9 mm,Cornflower Blue Shape,Square Cushion,,2025-09-01T12:01:01.936850+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.28  carat
Size: 6.4 × 5.8
× 3.9
mm
Colour: Cornflower Blue
Shape & Cut: Square Cushion"
4.50ct Natural Blue Sapphire,"Rs 2,227,800.00",2227800.0,LKR,https://wijayagems.com/products/4-50ct-natural-blue-sapphire,Natural Blue Sapphire,4.50,,7.4 ×6.5 mm,Corn Flower Shape,Cushion Step Cut Certificate,,2025-09-01T12:01:11.155651+00:00,"Gem type: Natural Blue Sapphire
Weight: 4.50 carat
Size: 7.4 ×6.5 mm
Colour: Corn Flower
Shape & Cut: Cushion Step Cut
Certificate: FK7-665"
2.30ct Natural  Blue Sapphire,"Rs 2,272,500.00",2272500.0,LKR,https://wijayagems.com/products/2-30ct-natural-blue-sapphire,Natural Blue Sapphire,2.30,Eye Clean Size,7.5 × 7.3 × 4 mm,Royal Blue Shape,Square Cushion step cut,,2025-09-01T12:01:17.508275+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.30 carat
Clarity: Eye Clean
Size:
7.5 × 7.3 × 4
mm
Colour: Royal
Blue
Shape & Cut:
Square Cushion
step cut"
